1	concept:object:sandwich.n.01
2	concept:location:skillet.n.01
3	concept:location:microwave.n.02
4	concept:location:oven.n.01
5	concept:location:napkin.n.01
6	concept:location:refrigerator.n.01
7	concept:location:bag.n.01
8	concept:location:basket.n.01
9	concept:location:trash_can.n.01
10	concept:location:bowl.n.01
11	concept:location:container.n.01
12	concept:location:aluminum_foil.n.01
13	concept:object:lid.n.02
14	concept:location:box.n.01
15	concept:location:cabinet.n.01
16	concept:location:sink.n.01
17	concept:location:pot.n.01
18	concept:location:water.n.06
19	concept:object:spoon.n.01
20	concept:location:cup.n.01
21	concept:location:omelet.n.01
22	concept:location:can.n.01
23	concept:location:mug.n.04
24	concept:location:jar.n.01
25	concept:location:drinking_glass.n.01
26	concept:object:cup.n.01
27	concept:location:counter.n.01
28	concept:object:bread.n.01
29	concept:location:sandwich.n.01
30	concept:location:toaster.n.02
31	concept:object:hanger.n.02
32	concept:object:soap.n.01
33	concept:location:soap_dispenser.n.01
34	concept:object:potato.n.01
35	concept:location:kitchen_stove.n.01
36	concept:object:omelet.n.01
37	concept:object:plate.n.04
38	concept:object:dish.n.01
39	concept:object:can.n.01
40	concept:object:toaster.n.02
41	concept:object:cellphone.n.01
42	concept:location:table.n.02
43	concept:object:skillet.n.01
44	concept:object:coffee_maker.n.01
45	concept:object:candle.n.01
46	concept:object:teapot.n.01
47	concept:object:lettuce.n.02
48	concept:object:book.n.01
49	concept:object:apple.n.01
50	concept:object:watering_can.n.01
51	concept:object:egg.n.02
52	concept:object:towel.n.01
53	concept:object:plunger.n.03
54	concept:object:faucet.n.01
55	concept:object:tissue_paper.n.01
56	concept:object:microwave.n.02
57	concept:object:tomato.n.01
58	concept:object:mug.n.04
59	concept:object:cutting_board.n.01
60	concept:object:scrub_brush.n.01
61	concept:object:napkin.n.01
62	concept:object:water_bottle.n.01
63	concept:object:jar.n.01
64	concept:object:rolling_pin.n.01
65	concept:object:credit_card.n.01
66	concept:object:bag.n.01
67	concept:object:lamp.n.02
68	concept:object:basket.n.01
69	concept:object:soap_dispenser.n.01
70	concept:object:bowl.n.01
71	concept:object:box.n.01
72	concept:object:sink.n.01
73	concept:object:pot.n.01
74	concept:location:coffee_maker.n.01
75	concept:object:fork.n.01
76	concept:object:container.n.01
77	concept:object:drinking_glass.n.01
78	concept:object:knife.n.01
79	concept:object:aluminum_foil.n.01
80	concept:object:water.n.06
81	concept:location:teapot.n.01
82	concept:location:watering_can.n.01
83	concept:location:faucet.n.01
84	concept:location:water_bottle.n.01
85	concept:location:bread.n.01
86	concept:location:plate.n.04
87	concept:location:dish.n.01
88	concept:location:cutting_board.n.01
89	concept:location:candle.n.01
90	concept:location:towel.n.01
91	concept:location:spoon.n.01
92	concept:location:fork.n.01
93	concept:location:knife.n.01
94	concept:location:chair.n.01
95	concept:location:lettuce.n.02
96	concept:location:egg.n.02
97	concept:location:knob.n.02
98	concept:location:lid.n.02
99	concept:location:scrub_brush.n.01
100	concept:object:chair.n.01
101	concept:location:book.n.01
102	concept:location:tomato.n.01
103	concept:location:hanger.n.02
104	concept:location:tissue_paper.n.01
105	concept:location:soap.n.01
106	concept:location:potato.n.01
107	concept:object:counter.n.01
108	concept:object:knob.n.02
109	concept:object:switch.n.01
110	concept:location:cellphone.n.01
111	concept:object:alarm_clock.n.01
112	concept:affordance:eating.n.01
113	concept:affordance:cooking.n.01
114	concept:affordance:boiling.n.02
115	concept:affordance:mixing.n.01
116	concept:affordance:measurement.n.01
117	concept:affordance:drinking.n.01
118	concept:affordance:toasting.n.01
119	concept:affordance:baking.n.02
120	concept:affordance:supporting.n.01
121	concept:affordance:storage.n.01
122	concept:affordance:cleaning.n.01
123	concept:affordance:washing.n.01
124	concept:affordance:frying.n,01
125	concept:affordance:burning.n.01
126	concept:affordance:heating.n.01
127	concept:affordance:peeling.n.01
128	concept:object:table.n.02
129	concept:affordance:cutting.n.03
130	concept:affordance:chopping.n.00
131	concept:object:vacuum.n.04
132	concept:affordance:vacuuming.n.00
133	concept:affordance:slicing.n.02
134	concept:object:oven.n.01
135	concept:affordance:roasting.n.01
136	concept:object:refrigerator.n.01
137	concept:affordance:rolling.n.03
138	concept:affordance:whisking.n.00
139	concept:object:cabinet.n.01
140	concept:object:kitchen_stove.n.01
141	concept:material:metal.n.02
142	concept:material:plastic.n.01
143	concept:material:glass.n.01
144	concept:material:wood.n.01
145	concept:material:ceramic.n.01
146	concept:material:clay.n.01
147	concept:material:paper.n.01
148	concept:material:fabric.n.01
149	concept:object:trash_can.n.01
